id,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
0,7.7,0.63,0.0,2.4,0.078,4.0,14.0,0.9965,3.31,0.53,9.2,5.0
1,6.8,0.48,0.32,2.5,0.086,33.0,58.0,0.9974,3.53,0.49,9.7,6.0
2,6.4,0.59,0.01,2.8,0.086,3.0,10.0,0.99716,3.45,0.49,9.5,6.0
3,7.0,0.74,0.24,2.1,0.072,14.0,28.0,0.99498,3.37,0.52,10.4,5.0
4,11.5,0.32,0.32,2.8,0.0819999999999999,14.0,37.0,0.9956,3.6,0.65,12.3,6.0
5,6.1,0.5,0.27,2.3,0.085,16.0,28.0,0.99836,3.44,0.63,11.5,6.0
6,7.0,0.58,0.02,2.0,0.071,18.0,42.0,0.99572,3.39,0.54,12.5,7.0
7,7.2,0.31,0.21,1.9,0.076,18.0,33.0,0.9965,3.29,0.53,11.5,3.0
8,7.5,0.56,0.02,2.6,0.078,12.0,27.0,0.9972,3.31,0.66,9.4,7.0
9,7.4,0.59,0.02,2.6,0.074,9.0,22.0,0.9973,3.4,0.52,9.8,5.0
10,8.9,0.63,0.23,2.8,0.078,6.0,15.0,0.99576,3.38,0.77,11.5,6.0
11,9.3,0.41,0.38,2.0,0.073,23.0,72.0,0.9987,3.37,0.57,9.0,6.0
12,9.0,0.46,0.5,2.2,0.079,23.0,44.0,0.9996,3.3,0.57,11.0,7.0
13,8.7,0.28,0.35,2.1,0.075,32.0,65.0,0.99578,3.24,0.78,10.7,6.0
14,8.2,0.55,0.03,2.4,0.086,6.0,20.0,0.9959,3.23,0.59,9.7,5.0
15,7.2,0.5,0.24,2.1,0.05,5.0,13.0,0.9972,3.35,0.66,9.7,5.0
16,8.6,0.28,0.49,2.5,0.166,18.0,58.0,0.9987,3.3,0.49,9.6,6.0
17,8.6,0.34,0.43,1.7,0.077,16.0,34.0,0.9976,3.26,0.49,10.5,6.0
18,6.8,0.34,0.3,2.3,0.094,11.0,25.0,0.9988,3.38,0.57,9.5,5.0
19,10.5,0.31,0.45,1.9,0.07,19.0,38.0,0.99774,3.32,0.72,10.0,7.0
20,7.0,0.6,0.17,2.7,0.0409999999999999,7.0,24.0,0.9955,3.39,0.54,10.4,6.0
21,10.5,0.46,0.48,2.2,0.091,8.0,28.0,0.99418,3.22,0.79,10.9,7.0
22,6.5,0.7,0.0,1.9,0.078,6.0,12.0,0.9988,3.61,0.62,11.8,7.0
23,6.7,0.49,0.09,2.4,0.0969999999999999,9.0,24.0,0.9968,3.42,0.54,9.5,5.0
24,5.2,0.685,0.0,1.9,0.06,3.0,10.0,0.99586,3.61,0.65,9.0,5.0
25,7.1,0.67,0.01,2.7,0.05,9.0,23.0,0.99498,3.34,0.56,10.8,5.0
26,8.0,0.43,0.26,2.7,0.075,9.0,20.0,0.9953,3.24,0.58,10.3,6.0
27,7.6,0.74,0.0,2.0,0.069,14.0,24.0,0.9997,3.36,0.58,9.1,5.0
28,7.9,0.57,0.26,2.1,0.073,5.0,15.0,0.997,3.24,0.59,9.2,6.0
29,9.4,0.5,0.07,1.9,0.096,16.0,63.0,0.9982,3.37,0.75,10.8,6.0
30,7.7,0.3,0.42,2.6,0.0819999999999999,28.0,52.0,0.99704,3.39,0.57,11.0,7.0
31,8.9,0.3,0.42,2.1,0.091,10.0,25.0,0.99622,3.11,0.56,9.5,5.0
